khong	không	738343	
la	là	688451	
toi	tôi	675054	
co	có	542427	
cua	của	542372	
va	và	533804	
anh	anh	470525	
duoc	được	415223	
da	đã	381420	
cho	cho	344820	
se	sẽ	313264	
do	đó	313150	
cac	các	303538	
nguoi	người	300214	
trong	trong	298524	
voi	với	290398	
nay	này	281520	
di	đi	278720	
phai	phải	265570	
gi	gì	249351	
nhung	những	242685	
o	ở	239656	
de	để	227892	
co	cô	225925	
lam	làm	215436	
roi	rồi	209187	
ta	ta	208634	
day	đây	194471	
em	em	186087	
biet	biết	183545	
ong	ông	182559	
den	đến	182443	
khi	khi	180263	
ra	ra	179698	
lai	lại	178242	
ve	về	172573	
no	nó	172177	
cung	cũng	160798	
con	con	157383	
nhung	nhưng	155505	
noi	nói	154899	
cothe	có thể	151404	
vao	vào	151238	
ma	mà	147472	
dang	đang	147296	
nhu	như	145247	
cau	cậu	142626	
con	còn	134281	
thi	thì	134105	
cai	cái	132589	
chungta	chúng ta	130752	
ay	ấy	129055	
chi	chỉ	128697	
ban	bạn	126577	
nhieu	nhiều	122987	
muon	muốn	120803	
tu	từ	120373	
sao	sao	116267	
rat	rất	112919	
nao	nào	112503	
tren	trên	111326	
minh	mình	110687	
ho	họ	110644	
nam	năm	107097	
hon	hơn	102438	
bi	bị	101990	
vay	vậy	99393	
thay	thấy	98817	
neu	nếu	95980	
the	thế	91724	
viec	việc	88807	
can	cần	88679	
dau	đâu	88304	
nha	nhà	87007	
toi	tới	82221	
len	lên	81967	
sau	sau	81844	
thoi	thôi	81224	
ca	cả	80686	
ai	ai	80316	
theo	theo	79823	
nen	nên	77715	
chuyen	chuyện	77476	
su	sự	76101	
chua	chưa	75161	
nghi	nghĩ	74352	
vi	vì	74222	
nua	nữa	73793	
day	đấy	73757	
han	hắn	71927	
dieu	điều	71853	
ngay	ngày	71595	
moi	mới	71458	
truoc	trước	70484	
tai	tại	69766	
thu	thứ	68798	
khac	khác	66432	
moi	mọi	65409	
hay	hay	65206	
nhat	nhất	64372	
chu	chứ	64157	
van	vẫn	62627	
that	thật	61734	
tot	tốt	60350	
a	à	59705	
nghe	nghe	56243	
qua	qua	55185	
dung	đúng	54348	
me	mẹ	53930	
tim	tìm	53146	
hay	hãy	52839	
chung	chúng	52140	
rang	rằng	51958	
cung	cùng	51806	
lan	lần	51571	
qua	quá	50563	
ba	bà	50316	
nuoc	nước	49298	
cach	cách	49147	
khongthe	không thể	48551	
dung	đừng	48463	
ten	tên	47090	
gio	giờ	46642	
dua	đưa	46462	
ngay	ngay	45807	
may	mày	45736	
giup	giúp	44341	
to	tớ	44314	
nhin	nhìn	43900	
nhau	nhau	43138	
chet	chết	43075	
luc	lúc	42768	
xem	xem	42395	
gap	gặp	42209	
bang	bằng	41953	
tatca	tất cả	41823	
tin	tin	40626	
ben	bên	40426	
lay	lấy	39296	
deu	đều	38732	
chau	cháu	38538	
goi	gọi	38350	
chinh	chính	37441	
tao	tao	37317	
cao	cao	36996	
noi	nơi	36935	
do	do	36610	
thoigian	thời gian	36587	
tung	từng	36579	
duong	đường	35493	
lon	lớn	35487	
thang	tháng	35189	
tien	tiền	35166	
lam	lắm	34641	
song	sống	34627	
dung	dùng	34591	
hoac	hoặc	34562	
xe	xe	34318	
an	ăn	34314	
bo	bố	33878	
het	hết	33849	
dau	đầu	33787	
ngoai	ngoài	33477	
chi	chị	33454	
hieu	hiểu	33431	
so	số	33410	
bon	bọn	32803	
vietnam	Việt Nam	32374	
mat	mất	32356	
luon	luôn	32267	
hang	hàng	32168	
them	thêm	32159	
thich	thích	32133	
bo	bộ	31819	
be	bé	31803	
giet	giết	31739	
khoi	khỏi	30752	
xin	xin	30621	
sudung	sử dụng	30441	
mang	mang	30198	
tay	tay	30049	
nhan	nhận	29797	
phong	phòng	29658	
hoc	học	28943	
xinloi	xin lỗi	28929	
vua	vừa	28879	
gan	gần	28826	
truong	trường	28748	
xuong	xuống	28446	
chiec	chiếc	28445	
cu	cứ	28389	
ngai	ngài	28384	
nay	nay	28336	
yeu	yêu	27953	
nhe	nhé	27724	
may	mấy	27341	
cuoc	cuộc	27008	
chac	chắc	26966	
hoi	hỏi	26778	
bo	bỏ	26347	
chao	chào	26242	
loai	loại	26047	
baogio	bao giờ	26022	
ha	hả	25328	
tochuc	tổ chức	25230	
nhanh	nhanh	25058	
giong	giống	24764	
giadinh	gia đình	24592	
nho	nhớ	24547	
cho	chỗ	24495	
nho	nhỏ	24402	
chang	chẳng	24396	
tieng	tiếng	24377	
baygio	bây giờ	24281	
vande	vấn đề	24271	
nguoi	ngươi	24246	
xay	xảy	24075	
lamviec	làm việc	23856	
thegioi	thế giới	23639	
congty	công ty	23604	
tao	tạo	23571	
loi	lời	23566	
phattrien	phát triển	23430	
giu	giữ	23241	
thuchien	thực hiện	23163	
tre	trẻ	23018	
cha	cha	22940	
du	đủ	22920	
quay	quay	22618	
vu	vụ	22564	
dep	đẹp	22439	
cau	câu	22220	
duoi	dưới	22023	
thang	thằng	21974	
hoatdong	hoạt động	21905	
tinh	tỉnh	21880	
tu	tự	21830	
giua	giữa	21703	
choi	chơi	21647	
mua	mua	21580	
vang	vâng	21550	
thua	thưa	21495	
ke	kẻ	21347	
dong	đồng	21308	
vai	vài	21234	
bai	bài	21149	
phan	phần	21140	
tang	tăng	20982	
tuoi	tuổi	20942	
gia	giá	20840	
camon	cảm ơn	20511	
xaydung	xây dựng	20501	
do	đồ	20484	
khoang	khoảng	20463	
khien	khiến	20443	
ban	bán	20434	
sang	sáng	20371	
phia	phía	19908	
diem	điểm	19862	
y	ý	19740	
dautien	đầu tiên	19678	
chay	chạy	19577	
thanh	thành	19576	
boi	bởi	19324	
batdau	bắt đầu	19303	
gay	gây	19189	
motso	một số	19068	
dacbiet	đặc biệt	18929	
kia	kia	18831	
bat	bắt	18797	
doivoi	đối với	18797	
chu	chú	18667	
thongtin	thông tin	18466	
thanhpho	thành phố	18402	
may	máy	18351	
oi	ơi	18290	
thuong	thường	18186	
gai	gái	18014	
kha	khá	17957	
quantrong	quan trọng	17909	
dan	dân	17792	
toi	tối	17777	
on	ổn	17703	
my	Mỹ	17628	
chuongtrinh	chương trình	17550	
sanpham	sản phẩm	17338	
thenao	thế nào	17314	
dung	đứng	17279	
noichuyen	nói chuyện	17195	
dua	đứa	17143	
giam	giảm	17031	
mat	mặt	17014	
buoi	buổi	16993	
ro	rõ	16971	
benh	bệnh	16953	
dat	đặt	16913	
tinh	tính	16900	
tieptuc	tiếp tục	16862	
u	ừ	16845	
dem	đêm	16622	
vui	vui	16563	
dautu	đầu tư	16562	
ke	kể	16554	
cho	chờ	16551	
ngu	ngủ	16541	
viet	viết	16476	
thamgia	tham gia	16425	
thi	thi	16324	
ngoi	ngồi	16284	
uong	uống	16068	
chon	chọn	15954	
tuynhien	tuy nhiên	15907	
doi	đội	15898	
thuoc	thuốc	15879	
bao	bảo	15840	
dat	đạt	15804	
hethong	hệ thống	15771	
baove	bảo vệ	15634	
danh	đánh	15606	
cay	cây	15508	
thaydoi	thay đổi	15507	
dang	đáng	15496	
trothanh	trở thành	15435	
da	da	15350	
dat	đất	15337	
chua	Chúa	15307	
khanang	khả năng	14954	
cap	cấp	14907	
mau	màu	14904	
tuan	tuần	14882	
lau	lâu	14829	
congviec	công việc	14764	
camon	cám ơn	14695	
thitruong	thị trường	14646	
muc	mức	14547	
anh	ảnh	14546	
doanhnghiep	doanh nghiệp	14518	
phunu	phụ nữ	14423	
quantam	quan tâm	14390	
quyetdinh	quyết định	14380	
kho	khó	14331	
buoc	bước	14314	
khu	khu	14231	
ban	bắn	14115	
kiemtra	kiểm tra	14063	
phut	phút	14063	
xa	xa	13993	
nam	nằm	13953	
tra	trả	13924	
so	sợ	13920	
thuoc	thuộc	13890	
kinhte	kinh tế	13881	
sanxuat	sản xuất	13832	
vo	vợ	13789	
it	ít	13782	
homnay	hôm nay	13769	
xong	xong	13764	
canhsat	cảnh sát	13681	
chan	chân	13543	
kehoach	kế hoạch	13497	
nghiencuu	nghiên cứu	13438	
mat	mắt	13417	
antoan	an toàn	13409	
co	cố	13316	
quanly	quản lý	13290	
chut	chút	13280	
so	so	13264	
cuoicung	cuối cùng	13246	
co	cổ	13245	
du	dù	13201	
bien	biển	13166	
danh	dành	13143	
oi	ôi	13120	
cuocsong	cuộc sống	13113	
mo	mở	13055	
mon	món	13018	
dung	dừng	12989	
thucsu	thực sự	12985	
phim	phim	12960	
cuoi	cuối	12838	
lo	lo	12812	
hanoi	Hà Nội	12758	
xahoi	xã hội	12740	
nganh	ngành	12689	
connguoi	con người	12670	
chiu	chịu	12668	
rieng	riêng	12653	
lop	lớp	12636	
yeucau	yêu cầu	12618	
nhom	nhóm	12600	
gui	gửi	12594	
huyen	huyện	12558	
vang	vàng	12545	
cang	càng	12528	
coi	coi	12471	
a	ạ	12411	
phep	phép	12410	
cuu	cứu	12367	
chacchan	chắc chắn	12344	
mua	mùa	12318	
nhi	nhỉ	12314	
doc	đọc	12285	
khokhan	khó khăn	12148	
vung	vùng	12117	
vi	vị	12109	
cohoi	cơ hội	12031	
hoantoan	hoàn toàn	12030	
dien	diễn	12006	
